"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA027 Kin terms for cousins,Code: EA027 Kin terms for cousins,Description: EA027 Kin terms for cousins,Comment: EA027 Kin terms for cousins,Subcase: EA027 Kin terms for cousins,References: EA027 Kin terms for cousins,Focal Year: EA043 Descent: major type,Code: EA043 Descent: major type,Description: EA043 Descent: major type,Comment: EA043 Descent: major type,Subcase: EA043 Descent: major type,References: EA043 Descent: major type
Ethnographic Atlas,Ga,Af43,xd223,Ga (Af43),6.0,0.0,6.0,0.0,gaaa1244,Ga,gaa,Atlantic-Congo,1930,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Daniell(1856); Field(1940); Field(1937); Manoukian(1950); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)","See related comment(s) by Murdock: variable EA019: But Daniell reports exogamy (code ""2"")",,Daniell(1856); Field(1940); Field(1937); Manoukian(1950); 
Ethnographic Atlas,Selkup,Ec11,xd619,Selkup (Ec11),59.0,90.0,59.0,90.0,selk1253,Selkup,sel,Uralic,1900,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Donner(1954); Donner(1932); ,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Donner(1954); Donner(1932); 
Ethnographic Atlas,Nyakyusa,Ad6,xd123,Nyakyusa (Ad6),-9.0,34.0,-9.0,34.0,nyak1261,Nyakyusa,,Atlantic-Congo,1930,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,Age villages of Mwaya and Masoko,Wilson(1977); Wilson(1959); Wilson(1957); Lehmann(1951); Wilson(1951b); Wilson(1951a); Wilson(1938); Wilson(1936); McKenny(1973); Charsley and McKenny(1974); ,1930,7,"Mixed (EA017  and/or EA019 > 1,and EA021 not equal to 9)",,Age villages of Mwaya and Masoko,Wilson(1977); Wilson(1959); Wilson(1957); Lehmann(1951); Wilson(1951b); Wilson(1951a); Wilson(1938); Wilson(1936); McKenny(1973); Charsley and McKenny(1974); 
Ethnographic Atlas,Nauruans,If13,xd828,Nauruans (If13),-0.53,166.92,-1.0,166.0,naur1243,Nauru,nau,Austronesian,1900,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Wedgwood(1936); Hambruch(1914-15); Stephen(1936); ,1900,7,"Mixed (EA017  and/or EA019 > 1,and EA021 not equal to 9)",,,Wedgwood(1936); Hambruch(1914-15); Stephen(1936); 
Ethnographic Atlas,Mesakin,Ai39,xd369,Mesakin (Ai39),11.0,30.0,11.0,30.0,ngil1242,Ngile,jle,Narrow Talodi,1940,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Nadel(1947); ,1940,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Nadel(1947); 
Ethnographic Atlas,Assiniboine,Ne11,xd1210,Assiniboin (Ne11),48.0,-106.0,48.0,-106.0,assi1247,Assiniboine,asb,Siouan,1870,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Denig(1930); Lowie(1910); Rodnick(1938); ,1870,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)","See related comment(s) by Murdock: variable EA021: Possibly quasi-lineages (code ""6""), if the band is regarded as a quasi-lineage",,Denig(1930); Lowie(1910); Rodnick(1938); 
Ethnographic Atlas,Ulithians,If9,xd840,Ulithians (If9),10.02,139.79,10.0,140.0,ulit1238,Ulithian,uli,Austronesian,1900,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,,William(1966); Lessa(1950); ,1900,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,William(1966); Lessa(1950); 
Ethnographic Atlas,Kiowa,Ne17,xd1216,Kiowa (Ne17),36.0,-99.0,36.0,-99.0,kiow1266,Kiowa,kio,Kiowa-Tanoan,1860,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Mooney(1898); Lowie(1923); Richardson(1940); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Mooney(1898); Lowie(1923); Richardson(1940); 
Ethnographic Atlas,Uzbek,Eb8,xd616,Uzbek (Eb8),43.0,60.0,43.0,60.0,nort2690,Northern Uzbek,uzn,Turkic,1800,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,with special reference to the Kongrat tribe,Zadykhina(1952); ,1800,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to the Kongrat tribe,Zadykhina(1952); 
Ethnographic Atlas,Chimariko,Nb33,xd1094,Chimariko (Nb33),41.0,-123.0,41.0,-123.0,chim1301,Chimariko,cid,Chimariko,1860,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,,Driver(1939); Dixon(1910); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Driver(1939); Dixon(1910); 
Ethnographic Atlas,Lolo,Ed2,xd645,Lolo (Ed2),29.0,103.0,29.0,103.0,sich1238,Sichuan Yi,iii,Sino-Tibetan,1940,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,Liang Shan and Taliang S,Tseng(1945); Le Bar et al.(1964b); D'Ollone(1912); Lin(1961); Pollard(1921); Litard(1913); ,1940,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Liang Shan and Taliang S,Tseng(1945); Le Bar et al.(1964b); D'Ollone(1912); Lin(1961); Pollard(1921); Litard(1913); 
Ethnographic Atlas,Arapaho,Ne9,xd1228,Arapaho (Ne9),40.0,-103.0,40.0,-103.0,arap1274,Arapaho,arp,Algic,1860,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Hilger(1952); Eggan(1937b); Elkin(1940b); Michelson(1934); Kroeber(1902-07); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Hilger(1952); Eggan(1937b); Elkin(1940b); Michelson(1934); Kroeber(1902-07); 
Ethnographic Atlas,Trukese,If2,xd833,Trukese (If2),7.34,151.6,7.0,152.0,chuu1238,Chuukese,chk,Austronesian,1940,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,Romonum Island,Gladwin and Sarason(1953); Bollig(1927); Goodenough(1949); LeBar(1964); Goodenough(1969); Fischer(1950); Murdock et al.(1944a); ,1940,7,"Mixed (EA017  and/or EA019 > 1,and EA021 not equal to 9)",,Romonum Island,Gladwin and Sarason(1953); Bollig(1927); Goodenough(1949); LeBar(1964); Goodenough(1969); Fischer(1950); Murdock et al.(1944a); 
Ethnographic Atlas,Simboese,Ig8,xd860,Simboese (Ig8),-8.0,157.0,-8.0,157.0,simb1256,Simbo,sbb,Austronesian,1910,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Hocart(1922); Rivers(1926); Scheffler(1962); Rivers(1914b); ,1910,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)","See related comment(s) by Murdock: variable EA019: Though descent is actually ambilineal, matrilineal ties are considered stronger than patrilineal ones",,Hocart(1922); Rivers(1926); Scheffler(1962); Rivers(1914b); 
Ethnographic Atlas,Lugbara,Ai32,xd362,Lugbara (Ai32),3.0,32.0,3.0,32.0,lugb1240,Lugbara,lgg,Central Sudanic,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,McConnell(1925); Baxter and Butt(1953); Middleton(1960); Middleton(1958); Middleton(1965); 
Ethnographic Atlas,Balinese,Ib3,xd752,Balinese (Ib3),-8.18,115.02,-8.0,115.0,bali1278,Balinese,ban,Austronesian,1950,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Tihingan Village,Franken et al.(1960); Belo(1936); Mead and MacGregor(1951); Belo(1970); Kahin(1963); Grant(1964); Geertz(1967); Geertz(1963); Covarrubias(1937); Geertz(1959b); Geertz(1959a); Geertz and Geertz(1959); ,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)","See related comment(s) by Murdock: variable EA017: But 'none' (code ""1"") in upper castes;",Tihingan Village,Franken et al.(1960); Belo(1936); Mead and MacGregor(1951); Belo(1970); Kahin(1963); Grant(1964); Geertz(1967); Geertz(1963); Covarrubias(1937); Geertz(1959b); Geertz(1959a); Geertz and Geertz(1959); 
Ethnographic Atlas,Herero,Ab1,xd10,Herero (Ab1),-21.0,16.0,-21.0,16.0,here1253,Herero,her,Atlantic-Congo,1900,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Vedder(1928); Irle(1906); ,1900,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,,Vedder(1928); Irle(1906); 
Ethnographic Atlas,Logo,Ai31,xd361,Logo (Ai31),3.0,30.0,3.0,30.0,logo1259,Logo,log,Central Sudanic,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Czekanowski(1924a); Baxter and Butt(1953); 
Ethnographic Atlas,Gbaya,Ai7,xd381,Baya (Ai7),6.0,16.0,6.0,16.0,nort2775,Northwest Gbaya,gya,Atlantic-Congo,,NA,Missing data,,,,1910,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Clozel(1896); Poupon(1915); Tessmann(1934-37); Hartmann(1927); 
Ethnographic Atlas,Bhil,Ef5,xd667,Bhil (Ef5),22.0,74.0,22.0,74.0,bhil1251,Bhili,bhb,Indo-European,1900,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Hendley(1875); Bose and Ray(1953); Koppers(1948); Naik(1956); ,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Hendley(1875); Bose and Ray(1953); Koppers(1948); Naik(1956); 
Ethnographic Atlas,Nyimang,Ai43,xd374,Nyima (Ai43),12.0,29.0,12.0,29.0,amas1236,Ama (Sudan),nyi,Nyimang,1930,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Stevenson(1940); Nadel(1947); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Stevenson(1940); Nadel(1947); 
Ethnographic Atlas,Bali Nyonga,Ae49,xd170,Bali (Ae49),6.0,10.0,6.0,10.0,mung1266,Mungaka,mhk,Atlantic-Congo,,NA,Missing data,,,,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Kaberry(1952); Hutter(1899); Corverrubias(1936); Ankermann(1910); 
Ethnographic Atlas,Abarambo,Ai27,xd356,Abarambo (Ai27),4.0,27.0,4.0,27.0,bara1361,Barambu,brm,Atlantic-Congo,1890,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings","Based on a dubious report of a single term for ""cousin""",,Czekanowski(1924a); Nvs(1896); ,1890,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Czekanowski(1924a); Nvs(1896); 
Ethnographic Atlas,Cheyenne,Ne5,xd1224,Cheyenne (Ne5),39.0,-104.0,39.0,-104.0,chey1247,Cheyenne,chy,Algic,1860,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Grinnell(1923); Grinnell(1918); Anderson(1949); Eggan(1937b); Hilger(1946); Mooney(1905-07); Hoebel(1960); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Grinnell(1923); Grinnell(1918); Anderson(1949); Eggan(1937b); Hilger(1946); Mooney(1905-07); Hoebel(1960); 
Ethnographic Atlas,Basketo,Ca28,xd435,Basketo (Ca28),6.0,37.0,6.0,37.0,bask1236,Basketo,bst,Ta-Ne-Omotic,,NA,Missing data,,,,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Jensen(1959); Cerulli(1956); 
Ethnographic Atlas,Udihe,ec21,xd630,Udihe (ec21),47.0,136.0,47.0,136.0,udih1248,Udihe,ude,Tungusic,1890,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,Hor River group,Kormushin(1998); Girfanova(2000); Startsev(2000); Levin and Potapov(1956a); Ivashchenko(1989); Lar'kin(1958); Arsen'ev(1926); ,1890,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Hor River group,Kormushin(1998); Girfanova(2000); Startsev(2000); Levin and Potapov(1956a); Ivashchenko(1989); Lar'kin(1958); Arsen'ev(1926); 
Ethnographic Atlas,Arikara,Ne10,xd1209,Arikara (Ne10),46.0,-101.0,46.0,-101.0,arik1262,Arikara,ari,Caddoan,1860,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,,Gilmore(1927); Lowie(1912a); Curtiss(1909); Will and Hyde(1917); Macgowan(1942); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Gilmore(1927); Lowie(1912a); Curtiss(1909); Will and Hyde(1917); Macgowan(1942); 
Ethnographic Atlas,Nyasa,Ac39,xd65,Nyasa (Ac39),-13.0,35.0,-13.0,35.0,mand1423,Manda (Tanzania),mgs,Atlantic-Congo,,NA,Missing data,,,,1920,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Tew(1950); Johnson(1922); 
Ethnographic Atlas,Guro,Af52,xd233,Guro (Af52),7.0,-6.0,7.0,-6.0,guro1248,Guro,goa,Mande,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Tauxier(1924a); 
Ethnographic Atlas,Buduma,Cb5,xd482,Buduma (Cb5),13.0,15.0,13.0,15.0,budu1265,Buduma,bdm,Afro-Asiatic,1910,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Bouillé(1937); Talbot(1911); Lebeuf(1959); ,1910,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)","See related comment(s) by Murdock: variable EA017, EA021: Descent uncertain, though reported as patrilineal by Bouillie",,Bouillé(1937); Talbot(1911); Lebeuf(1959); 
Ethnographic Atlas,Chilcotin,Nd8,xd1206,Chilcotin (Nd8),52.0,-122.0,52.0,-122.0,chil1280,Chilcotin,clc,Athapaskan-Eyak-Tlingit,1880,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,with special reference to the Alexis Creek and Redstone bands,Teit(1907); Lane(1963b); Ray(1942); Morice(1893); ,1880,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to the Alexis Creek and Redstone bands,Teit(1907); Lane(1963b); Ray(1942); Morice(1893); 
Ethnographic Atlas,Tangu,Ig21,xd854,Tangu (Ig21),-3.38,153.31,-3.0,153.0,tang1355,Tanggu,tgu,Lower Sepik-Ramu,1930,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,with special reference to Boieng Island,Bell(1938); Bell(1934); ,1930,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,with special reference to Boieng Island,Bell(1938); Bell(1934); 
Ethnographic Atlas,Plains Bira,Ae34,xd154,Plains Bira (Ae34),1.0,30.0,1.0,30.0,bera1259,Bera,brf,Atlantic-Congo,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Van Geluwe(1956); Czekanowski(1924g); Joset(1936); 
Ethnographic Atlas,Javanese,Ib2,xd751,Javanese (Ib2),-7.0,110.0,-7.0,110.0,java1254,Javanese,jav,Austronesian,1950,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,Town and environs of Pare; Modjokuto,Jay(1963); Grant(1964); Dewey(1962); Koentjaraningrat(1967); Kahin(1963); Geertz(1965); Geertz(1963); Geertz(1961); Geertz(1960); Koentjaraningrat(1961); Koentjaraningrat(1960); Jay(1969); ,1950,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,Town and environs of Pare; Modjokuto,Jay(1963); Grant(1964); Dewey(1962); Koentjaraningrat(1967); Kahin(1963); Geertz(1965); Geertz(1963); Geertz(1961); Geertz(1960); Koentjaraningrat(1961); Koentjaraningrat(1960); Jay(1969); 
Ethnographic Atlas,Kurd,Ci11,xd576,Kurd (Ci11),32.0,44.0,32.0,44.0,cent1972,Central Kurdish,ckb,Indo-European,1940,8,"Mixed or variant patterns not adequately represented by any of the foregoing symbols. The details are given under ""Classification by Clusters.""","One term for FaSiCh and MoSiCh, a second for FaBrCh, and a third for MoBrCh",,Longrigg(1953); Leach(1938); Barth(1953); Masters(1953); Hansen(1961); ,1940,7,"Mixed (EA017  and/or EA019 > 1,and EA021 not equal to 9)",,,Longrigg(1953); Leach(1938); Barth(1953); Masters(1953); Hansen(1961); 
